repetition,b,periods,memory,G,N,fixation_threshold,winner,generation,cor_prop_fit,cor_prop_reput,cor_reput_fit
4,25,24,24,6,72,0.99,S,260,0.05515595014873122,0.8421556536576947,0.2425768565814526
4,25,24,24,6,240,0.99,GR,2550,0.3061797660937557,0.7159929578444201,0.6410548249794754
4,25,24,24,12,72,0.99,GR,340,0.3964724365737588,0.6886946046792946,0.7778058458883881
4,25,24,24,12,240,0.99,S,1807,0.30377420996633553,0.7330744791413139,0.6396834505260184
4,25,48,12,6,72,0.99,S,530,0.12573418210209242,0.3795923237346098,0.5174907942156569
4,25,48,12,6,240,0.99,S,2960,0.25732971294521523,0.4786053341369333,0.6215497627706934
4,25,48,12,12,72,0.99,GR,512,0.4968507571367668,0.5797104238429218,0.7691476081441433
4,25,48,12,12,240,0.99,S,1150,0.3407360788536804,0.40714669178711255,0.5393211084706898
4,25,48,24,6,72,0.99,GR,411,0.23920345816568864,0.5429724244617392,0.6248051762966599
4,25,48,24,6,240,0.99,S,461,-0.07301270971723836,0.3595084296819295,0.48841947679321307
4,25,48,24,12,72,0.99,GR,238,0.6758683307783834,0.7109382366198268,0.7617425434727513
4,25,48,24,12,240,0.99,GR,1286,0.5025152835908654,0.6832979232633811,0.8465310972781449
5,5,24,12,6,72,0.99,S,606,0.048634625666485735,0.4235458496124544,0.48857146198876317
5,5,24,12,6,240,0.99,S,1095,0.10312301244787421,0.38691184231814624,0.42855699345780607
5,5,24,12,12,72,0.99,S,1187,0.22476396837028784,0.48236630065659386,0.6589807647742301
5,5,24,12,12,240,0.99,S,451,0.22610008853210192,0.4146618443952198,0.5752480437784308
5,5,24,24,6,72,0.99,S,519,0.28267070466456773,0.792194463671919,0.5157903190923321
5,5,24,24,6,240,0.99,S,602,0.18078676365109292,0.7751887740658743,0.4067597475274481
5,5,24,24,12,72,0.99,GR,816,0.42887952069753926,0.7105433276419629,0.8039838049768943
5,5,24,24,12,240,0.99,S,1130,0.22130982342754113,0.6763853548140768,0.603034793991168
5,5,48,12,6,72,0.99,S,694,0.19483467764153098,0.4625083125266988,0.6240424450991733
5,5,48,12,6,240,0.99,S,952,0.033808156910700916,0.2452917502411684,0.3574298061256911
5,5,48,12,12,72,0.99,GR,1491,0.36110837527516493,0.5107520171587618,0.676830016510918
5,5,48,12,12,240,0.99,S,2214,0.26136366421550783,0.4335902475845023,0.582804558929552
5,5,48,24,6,72,0.99,S,485,0.03147999260737835,0.44540552726294697,0.5438553338106854
5,5,48,24,6,240,0.99,S,657,0.15315718608517762,0.444642068880484,0.5245030640773768
5,5,48,24,12,72,0.99,S,876,0.2925077040592711,0.5040930062144561,0.7406590049597149
5,5,48,24,12,240,0.99,S,1098,0.3040021810004118,0.4387109555516292,0.6247483552713488
5,25,24,12,6,72,0.99,GR,219,0.34069835605250093,0.6459463500203952,0.6412693896913375
5,25,24,12,6,240,0.99,S,2662,0.09938441631462962,0.4338961536943548,0.4757317808051343
5,25,24,12,12,72,0.99,GR,442,0.3519888184887092,0.531728016948264,0.6976369211513199
5,25,24,12,12,240,0.99,GR,1063,0.4231208343379689,0.6976958874493452,0.7598299452874419
5,25,24,24,6,72,0.99,GR,440,0.2459373573929904,0.6933267159522492,0.6072547660180654
5,25,24,24,6,240,0.99,S,668,0.05422494728219378,0.7020651688469493,0.38222420612833513
5,25,24,24,12,72,0.99,GR,216,0.5063290400610627,0.7573584458176905,0.6722439237870002
5,25,24,24,12,240,0.99,S,2618,0.3293511438462149,0.7051433649357033,0.7004727766298061
5,25,48,12,6,72,0.99,S,770,0.2562553908244671,0.48448569579419887,0.6256818372988802
5,25,48,12,6,240,0.99,S,1853,0.04537388118129552,0.3076500505712809,0.4021289712670329
5,25,48,12,12,72,0.99,GR,238,0.422348525484622,0.5880293645687024,0.7109929719859325
5,25,48,12,12,240,0.99,GR,1379,0.4418199136203931,0.5454046730934068,0.7730049436762758
5,25,48,24,6,72,0.99,S,854,0.1900911810203387,0.5045418634150404,0.6162625650615938
5,25,48,24,6,240,0.99,S,1660,0.2759643376329148,0.507825577077894,0.5795779864822472
5,25,48,24,12,72,0.99,GR,580,0.4047089318526748,0.6383297673906123,0.8533280690171541
5,25,48,24,12,240,0.99,S,2769,0.2931367801293031,0.46322634280591424,0.6426289481547346
6,5,24,12,6,72,0.99,S,1708,0.17519163165771137,0.47975396637077633,0.535259035355353
6,5,24,12,6,240,0.99,S,1204,0.01648049581901418,0.387022008202218,0.44124636796157074
6,5,24,12,12,72,0.99,S,1002,0.2632670939289535,0.4935098218119738,0.6701784965434937
6,5,24,12,12,240,0.99,S,630,0.24290965292525243,0.338248991867085,0.4797866729772644
6,5,24,24,6,72,0.99,S,1927,0.046448638568407336,0.7208693507834262,0.34751296154473005
6,5,24,24,6,240,0.99,S,731,0.1201044812678126,0.7720914778122245,0.37291285185443207
6,5,24,24,12,72,0.99,GR,347,0.49311492487466924,0.7508702146779348,0.7656467971344053
6,5,24,24,12,240,0.99,S,1273,0.19283011294734537,0.7417576637298422,0.4952078453348182
6,5,48,12,6,72,0.99,S,1300,0.1953171388453116,0.4011491107855355,0.5337704367859889
6,5,48,12,6,240,0.99,S,3532,0.040104294936160904,0.34656512733873407,0.3953514430304094
6,5,48,12,12,72,0.99,GR,738,0.344458963987213,0.5898907917686365,0.7382189254639691
6,5,48,12,12,240,0.99,S,849,0.23029998616814182,0.33032737425758324,0.4525420507448965
6,5,48,24,6,72,0.99,S,749,-0.15533289278405954,0.40061102264067733,0.49951028231030176
6,5,48,24,6,240,0.99,S,1765,0.08576932809659081,0.33540283157985273,0.42090244796270043
6,5,48,24,12,72,0.99,S,1047,0.13566652173053137,0.5178690088331545,0.68720626819433706
6,5,48,24,12,240,0.99,S,612,0.2750556806494348,0.44077308652991853,0.6083092712032899
6,25,24,12,6,72,0.99,S,109,0.05867302581347405,0.26672628831080236,0.32467237537319116
6,25,24,12,6,240,0.99,S,850,0.13664481008317184,0.3801452225178281,0.4267199860216923
6,25,24,12,12,72,0.99,GR,665,0.3495106990049691,0.544427472584609,0.7168278306898116
6,25,24,12,12,240,0.99,GR,3229,0.44090646110364023,0.6840749450980115,0.7945749510321909
6,25,24,24,6,72,0.99,S,534,0.19305385394669747,0.6950679510050024,0.5360239928454344
6,25,24,24,6,240,0.99,S,637,-0.0690162479480105,0.6774064645112282,0.2541683784831449
6,25,24,24,12,72,0.99,GR,198,0.4150870495428374,0.7143067909451128,0.6215855717103306
6,25,24,24,12,240,0.99,GR,2142,0.3989018024239444,0.7193490042054257,0.7566406160748862
6,25,48,12,6,72,0.99,GR,785,0.3173076868714612,0.5308425116579631,0.6513485008884365
6,25,48,12,6,240,0.99,S,2026,0.23445248403178476,0.4169204931232515,0.550351032737703
6,25,48,12,12,72,0.99,GR,314,0.49259668866142725,0.6007422664398431,0.7629229173528402
6,25,48,12,12,240,0.99,S,1200,0.2050631339569286,0.34172863233435785,0.4886370578553998
6,25,48,24,6,72,0.99,GR,386,0.2839796896370856,0.6432702756479021,0.7413834787875196
6,25,48,24,6,240,0.99,S,931,0.12372687029446874,0.4276540768812886,0.4578275448799558
6,25,48,24,12,72,0.99,S,796,0.2377936249706303,0.5177672479813422,0.7425644640370179
6,25,48,24,12,240,0.99,GR,813,0.458800848385572,0.6623175244133381,0.8531230446277585
7,5,24,12,6,72,0.99,S,562,-5.255044223737735e-4,0.44411104435984333,0.490684394532827
7,5,24,12,6,240,0.99,S,702,0.24153862436634935,0.3912445468222122,0.4318853566886194
7,5,24,12,12,72,0.99,S,804,0.33491992375132046,0.49368496316195626,0.6501830914882653
7,5,24,12,12,240,0.99,S,881,0.14181034489841707,0.3603753079487475,0.5008030467243284
7,5,24,24,6,72,0.99,S,607,0.11054272846007579,0.8232810764467562,0.3117727834810115
7,5,24,24,6,240,0.99,S,516,0.035045782863965196,0.7550321760783487,0.29589234494242966
7,5,24,24,12,72,0.99,S,355,-0.012164960175897284,0.7972994171443671,0.2327048076695902
7,5,24,24,12,240,0.99,S,1571,0.19906184050438622,0.718277329617388,0.544743910987377
7,5,48,12,6,72,0.99,S,1023,0.17357762488970835,0.4491199297891131,0.5537835444976459
7,5,48,12,6,240,0.99,S,2896,0.09829271858171981,0.25574899608737256,0.4025407348537309
7,5,48,12,12,72,0.99,S,1579,0.2864215292680735,0.44579212051251843,0.6165884347809585
7,5,48,12,12,240,0.99,S,923,0.1799190980899478,0.28645190781158275,0.4611092395122525
7,5,48,24,6,72,0.99,S,493,0.12223317101649742,0.5058499840744887,0.6678880009796768
7,5,48,24,6,240,0.99,S,1531,0.08150297783805495,0.39635644944812776,0.4855242931909549
7,5,48,24,12,72,0.99,S,854,0.257252245818575,0.4988719889203953,0.6944039891066348
7,5,48,24,12,240,0.99,S,2133,0.2685119156853586,0.4586556263887096,0.6151242943297514
7,25,24,12,6,72,0.99,GR,1259,0.3012016900681698,0.6349619795462423,0.6710190293483842
7,25,24,12,6,240,0.99,S,2090,0.20016587446170578,0.4390365930332857,0.4910982180905355
7,25,24,12,12,72,0.99,GR,368,0.35852114005896857,0.6133334862266967,0.6873796650632014
7,25,24,12,12,240,0.99,GR,645,0.4107184018159917,0.6434986706474678,0.7676823503304042
7,25,24,24,6,72,0.99,GR,1802,0.3658934135620255,0.7220902613240072,0.7319604839952026
7,25,24,24,6,240,0.99,S,1124,-0.037497640212729645,0.8099254190716929,0.17321510430151207
7,25,24,24,12,72,0.99,GR,578,0.4300001697435159,0.7382314674433578,0.7313568851748639
7,25,24,24,12,240,0.99,S,1381,0.13839271236302705,0.7461368467394187,0.4458381060206741
7,25,48,12,6,72,0.99,GR,265,0.3831198375501829,0.5693303346576984,0.7380946459455374
7,25,48,12,6,240,0.99,S,1670,0.06307236390415212,0.2924849733171206,0.38241281377141983
7,25,48,12,12,72,0.99,GR,393,0.43713852355956534,0.5636804940941481,0.75891163541128
7,25,48,12,12,240,0.99,S,3860,0.23928526988632262,0.3328488717887601,0.4518052288759478
7,25,48,24,6,72,0.99,S,911,0.0023692497518570054,0.4424251532164319,0.5474494899155895
7,25,48,24,6,240,0.99,S,1014,0.006599131929287003,0.3776956591712953,0.47572702025538255
7,25,48,24,12,72,0.99,GR,268,0.4712037136598867,0.6366796859893902,0.8156974954241637
7,25,48,24,12,240,0.99,S,1849,0.3289109786486375,0.4710954384704704,0.6425637098449802
8,5,24,12,6,72,0.99,S,818,0.21945730207111258,0.5482111851013542,0.5868041732728467
8,5,24,12,6,240,0.99,S,660,0.0988210594034516,0.3946625287745184,0.4574339463268413
8,5,24,12,12,72,0.99,S,206,0.2618281840006093,0.5520129471798189,0.6561350422436572
8,5,24,12,12,240,0.99,S,955,0.14993458724046527,0.38722886431353515,0.5076847338466937
8,5,24,24,6,72,0.99,S,520,-0.096926294604295,0.7246835929983212,0.18070751375277383
8,5,24,24,6,240,0.99,S,1081,-0.02994049870716276,0.7063948051106455,0.30412493083998166
8,5,24,24,12,72,0.99,S,683,0.29593197939550175,0.7131701861427865,0.6580514307066766
8,5,24,24,12,240,0.99,S,790,0.16035080562429763,0.7602618319650519,0.45633260301661654
8,5,48,12,6,72,0.99,S,918,0.29169010335773854,0.5180763002216596,0.6347180309683019
8,5,48,12,6,240,0.99,S,379,0.27485777431234615,0.3055113551497632,0.45328516169311145
8,5,48,12,12,72,0.99,S,1478,0.30460901350446284,0.43956450770864874,0.6555030395395463
8,5,48,12,12,240,0.99,S,1903,0.23275083580732828,0.3333107044512029,0.4775935236871518
8,5,48,24,6,72,0.99,S,1268,0.18127026165393498,0.4665423369121606,0.5624741462228986
8,5,48,24,6,240,0.99,S,1012,0.12667620662391507,0.4209470323955539,0.4987032234314
8,5,48,24,12,72,0.99,S,910,0.1555925796473634,0.45673968291523226,0.6182133099412621
8,5,48,24,12,240,0.99,S,1202,0.2849316981117576,0.4988007383550585,0.6449822687450252
8,25,24,12,6,72,0.99,S,240,0.052819073538130895,0.41988763376235966,0.5444000782844676
8,25,24,12,6,240,0.99,S,1173,0.10516463394583156,0.39727361909810016,0.4336218531858825
8,25,24,12,12,72,0.99,S,211,0.17990813704459852,0.48015617570276425,0.5967958724028896
8,25,24,12,12,240,0.99,S,684,0.300129487919096,0.48388101641709313,0.6291301067939818
8,25,24,24,6,72,0.99,GR,700,0.2958363051871078,0.6941617907616637,0.6159682886567255
8,25,24,24,6,240,0.99,S,2129,0.22486816532596707,0.707209829054099,0.577554265549682
8,25,24,24,12,72,0.99,GR,318,0.45375321402735963,0.7137175243974023,0.8111621200787102
8,25,24,24,12,240,0.99,S,1232,0.16073910377432052,0.7670715112774489,0.4417742886917285
8,25,48,12,6,72,0.99,S,863,0.12495410660010758,0.38200725344272485,0.5316949657498452
8,25,48,12,6,240,0.99,S,1434,0.22037307256334898,0.38377888331809,0.5215801156132214
8,25,48,12,12,72,0.99,GR,185,0.5647563461555739,0.6277514530066034,0.7915176342623157
8,25,48,12,12,240,0.99,GR,898,0.5185666645153427,0.6022340300365604,0.7825131237789333
8,25,48,24,6,72,0.99,GR,322,0.42319561805839834,0.7119962370278393,0.6895030363469171
8,25,48,24,6,240,0.99,S,1038,0.05721003646629664,0.37138690941746527,0.48167369060184756
8,25,48,24,12,72,0.99,GR,151,0.3573025089852369,0.6328569710355404,0.76866653443903
8,25,48,24,12,240,0.99,GR,1294,0.4932779962022752,0.6689297343596465,0.8672715080370851
9,5,24,12,6,72,0.99,S,292,-0.12650672359888446,0.4087472090089755,0.4099801818967089
9,5,24,12,6,240,0.99,S,752,0.02634552300540523,0.3444901090663111,0.4027845796398866
9,5,24,12,12,72,0.99,S,202,0.09767086919175219,0.42764900990304,0.6447280250665763
9,5,24,12,12,240,0.99,S,1651,0.24465675498864908,0.41157268274043546,0.5336772285255273
9,5,24,24,6,72,0.99,S,1324,-0.047217060340893596,0.7530685339007445,0.2369244048928349
9,5,24,24,6,240,0.99,S,2165,0.11470599477745207,0.7116424936718801,0.4028185751354107
9,5,24,24,12,72,0.99,S,214,-0.1067026425115408,0.8863098828955958,0.014017282375908649
9,5,24,24,12,240,0.99,S,967,0.1787960045180977,0.7222218557894731,0.49713339639014337
9,5,48,12,6,72,0.99,S,796,0.0646912459112441,0.4214240742817015,0.5525651274496344
9,5,48,12,6,240,0.99,S,1028,0.14125743170600918,0.2960297917519023,0.3868956231166026
9,5,48,12,12,72,0.99,GR,705,0.44206795093051243,0.5536250538546353,0.7917034746785393
9,5,48,12,12,240,0.99,S,837,0.13793668282779986,0.36858165499567014,0.4657844143930417
9,5,48,24,6,72,0.99,GR,493,0.2937588847132174,0.5786499519639663,0.6793184858835914
9,5,48,24,6,240,0.99,S,2961,0.13358195145501173,0.3490613231748691,0.438324108667877
9,5,48,24,12,72,0.99,S,410,0.3970057333058726,0.542969093092195,0.7880483406573178
9,5,48,24,12,240,0.99,S,717,0.16359331430669094,0.43174414868652805,0.5732256738849596
9,25,24,12,6,72,0.99,S,753,-0.026433417071073963,0.4761126476364528,0.4048335737402886
9,25,24,12,6,240,0.99,S,1765,0.09779278557096245,0.43146164031317163,0.47612305639178343
9,25,24,12,12,72,0.99,GR,269,0.3588672532250267,0.647337474211802,0.7855017596924745
9,25,24,12,12,240,0.99,GR,1257,0.4193035126648445,0.6496283494155022,0.7585551276699457
9,25,24,24,6,72,0.99,GR,325,0.36928166531803436,0.7859887929049472,0.7040331983363621
9,25,24,24,6,240,0.99,S,1042,0.11179395615452996,0.7495797568801335,0.37640620279670906
9,25,24,24,12,72,0.99,GR,149,0.6262036380944627,0.7435070775364082,0.7397770041412132
9,25,24,24,12,240,0.99,S,1677,0.25652252359287125,0.7676112011254801,0.5383045613561237
9,25,48,12,6,72,0.99,GR,2633,0.35077990253569563,0.533302085988323,0.7001783603673911
9,25,48,12,6,240,0.99,S,3405,0.19712287670743292,0.38202320563536424,0.48491438245431556
9,25,48,12,12,72,0.99,GR,187,0.4727001472182479,0.7237247435825063,0.6475341071946589
9,25,48,12,12,240,0.99,GR,768,0.4402512732175783,0.5849087814789097,0.8044032788623858
9,25,48,24,6,72,0.99,GR,379,0.4117935143484167,0.6631015574393998,0.7460866936456021
9,25,48,24,6,240,0.99,S,1068,0.07214045948075375,0.45012448148750034,0.5628995852890598
9,25,48,24,12,72,0.99,GR,127,0.4560564338189252,0.7020379949857171,0.8499748485487542
9,25,48,24,12,240,0.99,GR,962,0.4762798217870635,0.6943860433232019,0.8674273826647917
10,5,24,12,6,72,0.99,S,677,-0.029533010720617984,0.43496081773691453,0.47095811332259385
