140603_1201,2,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,InGroup,input_self[1],input_self[2],input_self[3],input_self[4],input_self[5],input_self[6],input_other[1],input_other[2],input_other[3],input_other[4],input_other[5],input_other[6],chosen_option[1],chosen_option[2],chosen_option[3],chosen_option[4],chosen_option[5],chosen_option[6],item_order[1],item_order[2],item_order[3],item_order[4],item_order[5],item_order[6],random_numbers[1],random_numbers[2],random_numbers[3],random_numbers[4],random_numbers[5],random_numbers[6],all_unique,item_rank,svoGroup,Role,raven1,raven2,raven3,raven4,raven5,Q1,Q2,Q3,Q4,Q5,GroupCorrect1,GroupCorrect2,GroupCorrect3,GroupCorrect4,GroupCorrect5,ravenfeedback1,ravenprofit,Pair,RoleTrust,TrustGame,TrustGameResponder,trustfeedback1,% Sent back,trustprofit,Trio,RoleDictator,Allocation,dictatorprofit,AllocationDummy,TimeOKColorOK,TimeChatGroup1raven1OK,TimeChatGroupraven2OK,TimeChatGroupraven3OK,TimeChatGroupraven4OK,TimeChatGroupraven5OK,checker1,checker2,checker3,counter,fakepropose,fakerespond,TimePracticeTrustOK,TimeAEPracticeTrustOK,TimeTrustGameProposeOK,TimeAETrustGameResponseOK,Other1,Other2,Other1Team,Other2Team,Other1Num,Other2Num,TimeDictatorAllocateOK,random_dict,Dictator_roundpay,Dictator_team,Dictator_num,random_round,DictatorProfit,SelectedTeam,SelectedNum,TimeAECalculateDictatorOK,item_num,self[1],self[2],self[3],self[4],self[5],self[6],self[7],self[8],self[9],other[1],other[2],other[3],other[4],other[5],other[6],other[7],other[8],other[9],option,LeaveStage,TimeSVOItemsOK,TimeKillSVOItemsOK,mean_to_self,mean_to_other,k,svo_angle,svo_type,avg_dist_to_equality,avg_dist_to_altruist,avg_dist_to_joint,avg_dist_to_indiv,j,not_altru_indiv,inequality_aversion_score,payed_slider,svoProfit,kept_of_sender,received_from_sender,TimeSummaryOK,q1,q2,q3,q4,q5,TimeOKCollectivismOK,totalpayoff,ToPay,TimeFinalFeedbackOK,
140603_1201,2,subjects,1,11,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,1,2,5,0.629516028,0.769982479,0.459749468,0.252484448,0.416187401,0.662210387,1,1,5,2,5,4,6,2,6,0,10,10,10,10,0,0,5,0,5,-1,50,11,1,150,150,-1,33%,200,7,1,45,0,25,28,1,5,75,20,70,0,1,1,4,133,66,99999,99999,16,0,2,3,5,6,3,3,-5,1,30,3,3,4,0,0,0,-,4,100,109,118,126,135,144,153,161,170,200,179,158,136,115,94,73,51,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,5,0,0,0,-,-1,-1,-1,-1,-1,-,250,50,-,
140603_1201,2,subjects,1,12,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,3,1,4,0.603677359,0.631466592,0.05901216,0.276906355,0.05366408,0.557772703,1,1,5,1,5,0,6,4,6,0,0,10,0,10,0,0,5,0,5,-1,30,12,1,100,150,-1,50%,250,8,1,35,0,35,25,25,0,63,50,49,0,1,1,4,80,70,99999,99999,26,0,2,3,5,6,4,4,8,1,30,3,4,3,0,0,0,-,5,200,188,175,163,150,138,125,113,100,100,113,125,138,150,163,175,188,200,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,5,0,0,0,-,-1,-1,-1,-1,-1,-,280,56,-,
140603_1201,2,subjects,1,13,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,5,4,6,0.09553137,0.396216341,0.001880388,0.696141405,0.595728934,0.910311833,1,1,8,2,1,0,6,1,6,10,0,10,0,10,5,0,5,0,5,-1,45,1,2,200,10,-1,,590,1,3,35,0,35,28,37,0,53,39,20,0,1,1,4,100,1,99999,99999,25,21,1,2,1,2,1,3,3,1,35,1,1,1,35,1,1,-,2,170,174,178,181,185,189,193,196,200,30,39,48,56,65,74,83,91,100,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,4,0,0,0,-,-1,-1,-1,-1,-1,-,670,134,-,
140603_1201,2,subjects,1,14,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,4,1,2,0.67014108,0.461469049,0.646043533,0.610969106,0.176210621,0.202436456,1,1,8,1,1,0,6,3,6,10,0,10,0,10,5,0,5,0,5,-1,45,2,2,200,300,-1,,300,2,3,50,0,20,27,41,0,57,77,26,0,1,1,4,200,300,99999,99999,25,24,1,2,1,2,2,4,-14,1,35,1,2,4,0,0,0,-,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,4,0,0,0,-,-1,-1,-1,-1,-1,-,345,69,-,
140603_1201,2,subjects,1,15,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,1,2,5,0.409692626,0.932198576,0.57190695,0.175001635,0.234798903,0.826067035,1,1,7,2,1,3,6,2,6,10,0,10,10,10,5,0,5,0,5,-1,55,3,2,200,250,-1,,350,6,2,35,0,35,28,27,1,60,2,20,1,0,0,4,0,0,99999,99999,23,11,3,1,5,2,1,2,8,1,35,2,2,1,35,2,2,-,3,100,109,118,126,135,144,153,161,170,200,196,193,189,185,181,178,174,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,4,0,0,0,-,-1,-1,-1,-1,-1,-,440,88,-,
140603_1201,2,subjects,1,16,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,6,2,1,0.418434302,0.520657809,0.46949693,0.730307908,0.36624195,0.061135607,1,1,7,1,1,6,6,0,6,10,0,10,0,10,5,0,5,0,5,-1,45,4,2,200,300,-1,,300,5,2,50,0,20,21,25,6,53,0,17,0,1,1,4,70,10,99999,99999,20,16,3,1,5,2,2,1,5,1,40,2,1,2,0,0,0,-,3,100,109,118,126,135,144,153,161,170,200,196,193,189,185,181,178,174,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,4,0,0,0,-,-1,-1,-1,-1,-1,-,345,69,-,
140603_1201,2,subjects,1,17,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,3,4,1,0.239582728,0.728653492,0.860072178,0.506115956,0.683681903,0.040102932,1,1,10,2,1,4,6,2,6,10,10,10,10,10,5,0,5,5,0,-1,65,5,2,200,300,-1,,300,6,3,35,0,35,28,61,42,68,46,63,0,1,1,4,111,333,99999,99999,26,9,1,2,2,4,2,3,-35,1,35,2,2,4,0,0,0,-,2,170,174,178,181,185,189,193,196,200,30,39,48,56,65,74,83,91,100,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,5,0,0,0,-,-1,-1,-1,-1,-1,-,365,73,-,
140603_1201,2,subjects,1,18,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,3,5,4,0.704991896,0.32088869,0.277388119,0.485823739,0.641748085,0.614626853,1,1,10,1,1,0,6,2,0,10,0,10,10,0,5,0,5,5,0,-1,45,6,2,20,5,-1,,55,5,3,35,0,35,23,15,0,3,15,0,0,1,1,6,30,10,99999,99999,26,19,1,2,2,4,1,4,10,1,30,2,1,3,0,0,0,-,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,5,0,0,0,-,-1,-1,-1,-1,-1,-,100,20,-,
140603_1201,2,subjects,1,19,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,6,4,0.033511918,0.183720842,0.396247317,0.713291373,0.796192996,0.624025815,1,1,9,2,1,4,6,2,6,10,10,10,10,10,5,0,5,5,0,-1,65,7,2,55,50,-1,,115,7,2,35,0,35,28,2,10,26,21,6,0,1,1,4,200,1,99999,99999,22,2,3,1,6,3,3,3,4,1,45,3,3,3,0,0,0,-,1,170,170,170,170,170,170,170,170,170,170,153,135,118,100,83,65,48,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,5,0,0,0,-,-1,-1,-1,-1,-1,-,180,36,-,
140603_1201,2,subjects,1,20,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,6,5,3,0.851755691,0.563571121,0.173939207,0.946893256,0.861642855,0.5656688,1,1,9,1,1,4,6,2,6,10,10,10,10,10,5,0,5,5,0,-1,65,8,2,100,0,-1,,300,8,2,35,0,35,28,23,9,57,20,5,0,1,0,4,4,4,99999,99999,16,17,3,1,6,3,4,4,19,1,35,3,4,2,0,0,0,-,4,100,109,118,126,135,144,153,161,170,200,179,158,136,115,94,73,51,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,5,0,0,0,-,-1,-1,-1,-1,-1,-,365,73,-,
