sid,period,recipient,sessionid,subject,group,profit,totalprofit,pair,roletrust,numingroup,svogroup,role,roledictator,trio,trustprofit,give,other1,other2,otherteam,othernum,dictator_roundpay,dictator_team,dictator_num,dictatorprofit,selectedteam,selectednum,mean_to_self,mean_to_other,not_altru_indiv,inequality_aversion_score,payed_slider,svoprofit,kept_of_sender,received_from_sender,totalpayoff,topay,session,groupid,correct,correct_group,svo_angle,svo_type,collectivism,sent,returned,kindness,norsent,discrimination,partner_team,partner_id,direct,otherdirect,greciprocity,othergreciprocity,ingroup,otheringroup,conddirect,condgrec,condin,condition,_est_disc_senders,_est_discrimination,_est_disc_responders,subdisc,inbiasround,inbias,groupbias,groupkindness,groupsend,history,baseline,falsebaseline,indcondition
37,6,2,140610_1226,13,4,0,0,1,Responder,1,8,2,3,6,225,20,1,2,3,4,30,4,1,35,3,3,156.666666666667,156.833333333333,0,-99,4,115,135,115,435,73,2,10,4,4,45.03624,2,5.1999998,150,225,.5,1,30,1,1,0,1,0,0,0,0,1,0,0,Direct,0,1,1,30,,,,.2013889,,1,1,1,Baseline
38,1,1,140610_1226,14,4,0,0,2,Responder,2,8,1,2,2,55,55,3,1,6,2,35,6,2,35,6,2,0,0,0,-99,2,0,0,0,150,25,2,10,4,4,33.186855,2,4.1999998,20,5,.083333336,.13333334,40,1,2,0,0,0,1,0,0,0,1,0,Group,0,1,1,,,0,17,.2013889,,0,1,1,Baseline
38,1,2,140610_1226,14,4,0,0,2,Responder,2,8,1,2,2,55,15,3,1,1,1,35,6,2,35,6,2,0,0,0,-99,2,0,0,0,150,25,2,10,4,4,33.186855,2,4.1999998,20,5,.083333336,.13333334,40,1,2,0,0,1,0,0,0,0,1,0,Group,0,1,1,,,0,17,.2013889,,0,0,0,Group
38,2,1,140610_1226,14,4,0,0,2,Responder,2,8,1,3,3,55,35,1,2,1,4,35,1,4,35,6,2,0,0,0,-99,5,0,0,0,150,25,2,10,4,4,33.186855,2,4.1999998,20,5,.083333336,.13333334,0,1,2,0,0,1,0,0,0,0,1,0,Group,0,1,1,20,,,,.2013889,,0,0,0,Group
38,2,2,140610_1226,14,4,0,0,2,Responder,2,8,1,3,3,55,35,1,2,3,4,35,1,4,35,6,2,0,0,0,-99,5,0,0,0,150,25,2,10,4,4,33.186855,2,4.1999998,20,5,.083333336,.13333334,0,1,2,0,0,0,1,0,0,0,1,0,Group,0,1,1,20,,,,.2013889,,0,1,1,Baseline
38,3,1,140610_1226,14,4,0,0,2,Responder,2,8,1,3,6,55,30,1,2,1,2,30,4,2,0,0,0,0,0,0,-99,1,0,0,0,115,20,2,10,4,4,33.186855,2,4.1999998,20,5,.083333336,.13333334,10,1,2,1,0,0,0,0,0,1,0,0,Direct,0,1,1,10,,,,.2013889,,1,0,0,Direct
38,3,2,140610_1226,14,4,0,0,2,Responder,2,8,1,3,6,55,40,1,2,3,3,30,4,2,0,0,0,0,0,0,-99,1,0,0,0,115,20,2,10,4,4,33.186855,2,4.1999998,20,5,.083333336,.13333334,10,1,2,0,1,0,0,0,0,1,0,0,Direct,0,1,1,10,,,,.2013889,,1,1,1,Baseline
38,4,1,140610_1226,14,4,0,0,2,Responder,2,8,1,3,8,55,35,1,2,2,2,35,4,1,30,4,2,0,0,0,-99,6,0,0,0,145,25,2,10,4,4,33.186855,2,4.1999998,20,5,.083333336,.13333334,0,1,2,0,0,0,0,0,1,0,0,1,In-Group,0,1,1,0,0,,,.2013889,,1,1,1,Baseline
38,4,2,140610_1226,14,4,0,0,2,Responder,2,8,1,3,8,55,35,1,2,4,1,35,4,1,30,4,2,0,0,0,-99,6,0,0,0,145,25,2,10,4,4,33.186855,2,4.1999998,20,5,.083333336,.13333334,0,1,2,0,0,0,0,1,0,0,0,1,In-Group,0,1,1,0,0,,,.2013889,,1,0,0,In-Group
38,5,1,140610_1226,14,4,0,0,2,Responder,2,8,1,2,1,55,35,3,1,6,2,30,4,2,35,6,2,0,0,0,-99,4,0,0,0,150,25,2,10,4,4,33.186855,2,4.1999998,20,5,.083333336,.13333334,0,1,2,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,0,,,,.2013889,,0,1,0,Baseline
